brand,transmission,make_year,fuel_type,engine_capacity(CC),km_driven,ownership,price,overall_cost,spare_key,model_simple,car_age
Maruti,Manual,2017,Petrol,7.088408778675395,22148.0,1st owner,13.054086677976365,9.119211438565081,No,Dzire,8
Hyundai,Manual,2013,Petrol,7.3727463664043285,75331.0,1st owner,12.84265212010087,9.204724633190548,No,Verna,12
Honda,Manual,2020,Petrol,7.090076835776092,52036.0,1st owner,13.258642740896052,9.323936878558722,No,Amaze,5
Maruti,Manual,2022,Petrol,7.088408778675395,24626.0,1st owner,13.537119853422677,9.601909374892236,No,Swift,3
Maruti,Automatic,2019,Diesel,7.130098510125578,86677.0,1st owner,13.356646255406224,9.551729074377214,Yes,Vitara,6
Nissan,Manual,2022,Petrol,6.907755278982137,18222.0,1st owner,13.327751835792448,9.393328373313297,Yes,MAGNITE,3
Honda,Manual,2021,Petrol,7.312553498102598,5404.0,1st owner,14.03945458880924,10.077776937632818,Yes,City,4
Maruti,Manual,2020,Petrol,7.088408778675395,72471.0,2nd owner,13.256896018612155,9.323043861889268,No,Baleno,5
Renault,Automatic,2017,Petrol,6.907755278982137,47819.0,2nd owner,12.584512505902088,8.649974302650056,No,Kwid,8
Volkswagen,Manual,2018,Petrol,6.907755278982137,40904.0,1st owner,13.062615496138552,9.127936545721367,No,Ameo,7
Maruti,Manual,2022,Petrol,6.906754778648554,12708.0,1st owner,13.11029282045951,9.175645402179295,No,Celerio,3
Nissan,Manual,2022,Petrol,6.907755278982137,36341.0,1st owner,13.219491903015438,9.284798282894192,Yes,MAGNITE,3
Maruti,Manual,2022,Petrol,7.088408778675395,17745.0,1st owner,13.171155446333852,9.235910648087712,Yes,IGNIS,3
Nissan,Manual,2021,Petrol,6.907755278982137,30455.0,1st owner,13.165424782571753,9.230731061623917,Yes,MAGNITE,4
Hyundai,Manual,2018,Petrol,7.088408778675395,40398.0,1st owner,12.889172015485954,8.954544488386723,No,Grand,7
Maruti,Manual,2017,Petrol,6.906754778648554,60446.0,1st owner,12.765691290604371,8.832295859444011,No,Wagon,8
Renault,Manual,2016,Petrol,6.907755278982137,20709.0,1st owner,12.476103599529843,8.5422759717837,No,Kwid,9
Honda,Manual,2017,Petrol,7.311886164077165,78608.0,1st owner,13.267330877756825,9.332646496360152,Yes,City,8
Datsun,Manual,2018,Petrol,6.705639094860003,84695.0,1st owner,12.240478903153711,8.303999970955196,No,Redi,7
Maruti,Manual,2018,CNG,6.906754778648554,56257.0,1st owner,12.813119851828635,8.878497403738631,Yes,Wagon,7
Maruti,Manual,2018,Petrol,7.088408778675395,27356.0,2nd owner,13.251637470576167,9.316770315592029,No,Swift,7
Maruti,Manual,2019,Diesel,7.312553498102598,61329.0,1st owner,13.461690107508359,9.656115343487846,No,Ciaz,6
Hyundai,Manual,2020,Diesel,7.242082359256962,46446.0,1st owner,13.506265669993544,9.572062557136428,No,VENUE,5
Renault,Automatic,2017,Petrol,6.907755278982137,41308.0,3rd owner,12.560247968016562,8.627123250788433,No,Kwid,8
Tata,Manual,2018,Petrol,7.090076835776092,94259.0,1st owner,12.85840043573314,8.923591197573002,Yes,Tiago,7
Honda,Manual,2016,Petrol,7.090076835776092,79166.0,1st owner,12.853178505386333,8.917578753781104,No,Jazz,9
Hyundai,Manual,2019,Petrol,6.99117688712121,61839.0,2nd owner,12.891694078557842,8.956995311928852,Yes,NEW,6
Maruti,Manual,2020,Petrol,7.088408778675395,46628.0,1st owner,13.165424782571753,9.230731061623917,No,Baleno,5
